QuoteID,Date,PartDescription,Material,Process,Quantity,LeadTimeWeeks,RushJob,Estimator,TotalPrice_USD
Q-1000,2024-01-20,Sensor Housing - threaded,Inconel 718,Wire EDM,1,3,Yes,Sato-san,703.11
Q-1001,2024-02-06,Manifold Block - complex internal channels,Titanium Grade 5,5-Axis Milling,1,3,No,Sato-san,1559.95
Q-1002,2023-12-29,Manifold Block - complex internal channels,Stainless Steel 17-4 PH,5-Axis Milling,1,11,Yes,Suzuki-san,1898.02
Q-1003,2023-10-09,Sensor Housing - threaded,Titanium Grade 5,Wire EDM,1,5,No,Tanaka-san,678.61
Q-1004,2023-07-10,Turbine Blade Housing - thin walls,Inconel 718,CNC Turning,50,4,No,Suzuki-san,25176.21
Q-1005,2023-01-17,Mounting Bracket - standard,Stainless Steel 17-4 PH,Surface Grinding,50,5,No,Tanaka-san,4436.3
Q-1006,2024-01-30,Turbine Blade Housing - thin walls,Titanium Grade 5,Wire EDM,5,12,No,Suzuki-san,5883.34
Q-1007,2023-08-06,Structural Rib - aerospace grade,Aluminum 6061,CNC Turning,10,8,Yes,Tanaka-san,1782.77
Q-1008,2023-11-24,Fuel Injector Nozzle - high precision,Inconel 718,CNC Turning,1,4,No,Tanaka-san,1042.29
Q-1009,2023-06-30,Actuator Linkage,Inconel 718,Wire EDM,10,8,No,Suzuki-san,4190.68
Q-1010,2024-02-24,Fuel Injector Nozzle - high precision,Inconel 718,Wire EDM,10,5,No,Suzuki-san,9893.48
Q-1011,2023-08-31,Structural Rib - aerospace grade,Titanium Grade 5,Surface Grinding,50,5,No,Suzuki-san,6640.92
Q-1012,2024-03-05,Structural Rib - aerospace grade,Aluminum 7075,Wire EDM,50,3,No,Suzuki-san,13373.39
Q-1013,2023-12-11,Manifold Block - complex internal channels,Aluminum 7075,Wire EDM,10,12,No,Tanaka-san,9519.46
Q-1014,2023-08-09,Sensor Housing - threaded,Aluminum 6061,5-Axis Milling,10,10,No,Sato-san,3035.98
Q-1015,2023-12-16,Turbine Blade Housing - thin walls,Aluminum 6061,3-Axis Milling,100,12,No,Suzuki-san,26620.6
Q-1016,2023-12-01,Turbine Blade Housing - thin walls,Aluminum 7075,3-Axis Milling,1,9,No,Suzuki-san,542.45
Q-1017,2023-10-29,Landing Gear Pin - hardened,Inconel 718,Wire EDM,10,12,No,Suzuki-san,4593.57
Q-1018,2023-10-29,Manifold Block - complex internal channels,Inconel 718,CNC Turning,50,10,No,Suzuki-san,25603.09
Q-1019,2023-09-02,Structural Rib - aerospace grade,Aluminum 7075,3-Axis Milling,100,12,Yes,Tanaka-san,18690.61
Q-1020,2024-03-24,Manifold Block - complex internal channels,Inconel 718,Surface Grinding,20,11,No,Tanaka-san,11957.94
Q-1021,2023-04-13,Actuator Linkage,Titanium Grade 5,Wire EDM,100,4,No,Suzuki-san,25700.45
Q-1022,2023-05-24,Landing Gear Pin - hardened,Stainless Steel 17-4 PH,Wire EDM,100,2,No,Tanaka-san,28831.76
Q-1023,2023-01-29,Sensor Housing - threaded,Aluminum 6061,CNC Turning,5,12,No,Tanaka-san,768.89
Q-1024,2024-03-19,Structural Rib - aerospace grade,Inconel 718,3-Axis Milling,20,7,No,Suzuki-san,4780.41
Q-1025,2023-04-13,Heat Sink - high fin density,Titanium Grade 5,Wire EDM,50,2,No,Sato-san,13633.33
